ref,value,datasheet,Field1,Field2
J2,USB,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=292303&DocType=Customer+Drawing&DocLang=English,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=292303&DocType=Customer+Drawing&DocLang=English,A31726-ND,Digikey
L1,4.7uH,http://www.bourns.com/data/global/pdfs/SRR1240.pdf,http://www.bourns.com/data/global/pdfs/SRR1240.pdf,SRR1240-4R7MCT-ND,Digikey
Q1,SI4174DY,http://www.vishay.com/docs/68998/si4174dy.pdf,http://www.vishay.com/docs/68998/si4174dy.pdf,SI4174DY-T1-GE3CT-ND,Digikey 
Q2,SI4463CDY,http://www.vishay.com/docs/67335/si4463cd.pdf,http://www.vishay.com/docs/67335/si4463cd.pdf,78-SI4463CDY-T1-GE3,Mouser
Q3,SI4463CDY,http://www.vishay.com/docs/67335/si4463cd.pdf,http://www.vishay.com/docs/67335/si4463cd.pdf,78-SI4463CDY-T1-GE3,Mouser
R1,4.87k,http://www.vishay.com/doc?31018,http://www.vishay.com/doc?31018,CMF4.87KHFCT-ND,Digikey
R2,130k,http://www.vishay.com/doc?31018,http://www.vishay.com/doc?31018,CMF130KQFCT-ND,Digikey
R3,100k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-100KFCT-ND,Digikey
R4,100k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-100KFCT-ND,Digikey
R5,10k,http://www.vishay.com/doc?28724,http://www.vishay.com/doc?28724,PPC10.0KZCT-ND,Digikey
R6,4.3k,http://www.yageo.com/documents/recent/General%20Type_CFR.pdf,http://www.yageo.com/documents/recent/General%20Type_CFR.pdf,4.3KH-ND,Digikey
R7,34.0k,http://www.vishay.com/doc?31018,http://www.vishay.com/doc?31018,CMF34.0KHFCT-ND,Digikey
R8,4.3k,http://www.yageo.com/documents/recent/General%20Type_CFR.pdf,http://www.yageo.com/documents/recent/General%20Type_CFR.pdf,4.3KH-ND,Digikey
R9,100k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-100KFCT-ND,Digikey
R10,.010,http://www.vishay.com/doc?30206,http://www.vishay.com/doc?30206,LVRA-.01RCT-ND,Digikey
R11,4.3k,http://www.yageo.com/documents/recent/General%20Type_CFR.pdf,http://www.yageo.com/documents/recent/General%20Type_CFR.pdf,4.3KH-ND,Digikey
R12,1K,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-1.00KFCT-ND,Digikey
R13,100k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-100KFCT-ND,Digikey
R14,31.6k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-31.6KFCT-ND,Digikey
R15,100k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-100KFCT-ND,Digikey
R16,100k,http://www.vishay.com/doc?20035,http://www.vishay.com/doc?20035,541-100KFCT-ND,Digikey
R17,.05,http://www.ohmite.com/cat/res_lvk.pdf,http://www.ohmite.com/cat/res_lvk.pdf,LVK12R050DERCT-ND,Digikey 
R18,1M,http://www.vishay.com/doc?28722,http://www.vishay.com/doc?28722,PPC1.00MXCT-ND,Digikey
RT1,10K,http://www.vishay.com/docs/29049/ntcle100.pdf,http://www.vishay.com/docs/29049/ntcle100.pdf,BC2395CT-ND,Digikey
U1,LM3914,http://www.ti.com/lit/ds/symlink/lm3914.pdf,http://www.ti.com/lit/ds/symlink/lm3914.pdf,LM3914N-1/NOPB-ND,Digikey 
U2,TPD2E001DRL,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND,Digikey
U3,MIC2185,http://www.micrel.com/_PDF/mic2185.pdf,http://www.micrel.com/_PDF/mic2185.pdf,576-2162-ND,Digikey
U4,MCP73833,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en027983,MCP73833-FCI/UN-ND,Digikey 
U5,TPD2E001DRL,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,http://www.ti.com/lit/ds/symlink/tpd2e001.pdf,296-21883-1-ND,Digikey
U6,TPS2511,http://www.ti.com/lit/ds/symlink/tps2511.pdf,http://www.ti.com/lit/ds/symlink/tps2511.pdf,296-30552-1-ND,Digikey 
U7,BATT,http://www.batteryspace.com/prod-specs/5702_5.pdf,http://www.batteryspace.com/prod-specs/5702_5.pdf,5702,batteryspace
U8,LT1389,http://www.linear.com/docs/1424,http://www.linear.com/docs/1424,LT1389BCS8-5#PBF-ND,Digikey 
U9,MAX9938T,http://datasheets.maximintegrated.com/en/ds/MAX9938.pdf,http://datasheets.maximintegrated.com/en/ds/MAX9938.pdf,MAX9938TEUK+TCT-ND,Digikey 
U10,FDC6392S,http://www.mouser.com/ds/2/149/FDC6392S-108515.pdf,http://www.mouser.com/ds/2/149/FDC6392S-108515.pdf,512-FDC6392S,Digikey
U11,MCP6041T-I,http://ww1.microchip.com/downloads/en/DeviceDoc/21669D.pdf,http://ww1.microchip.com/downloads/en/DeviceDoc/21669D.pdf,MCP6041T-I/SNCT-ND,Digikey
